query,metric,timestamp_utc,timestamp_unix,value,zone,path,namespace,pod_namespace,pod,pod_name,container,device,mode,cpu,labels_json
kepler_node,kepler_node_cpu_usage_ratio,2026-07-13T15:15:38.456000Z,1783955738.456,0.010840108401079053,,,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_usage_ratio"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler""}"
kepler_node,kepler_node_cpu_usage_ratio,2026-07-13T15:15:48.456000Z,1783955748.456,0.006665027725413241,,,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_usage_ratio"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler""}"
kepler_node,kepler_node_cpu_usage_ratio,2026-07-13T15:15:58.456000Z,1783955758.456,0.008988842642785617,,,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_usage_ratio"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler""}"
kepler_node,kepler_node_cpu_watts,2026-07-13T15:15:38.456000Z,1783955738.456,0.040035780230348775,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_watts,2026-07-13T15:15:48.456000Z,1783955748.456,0.040835420657493376,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_watts,2026-07-13T15:15:58.456000Z,1783955758.456,0.03340443050486587,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_watts,2026-07-13T15:15:38.456000Z,1783955738.456,101.74035257218658,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_watts,2026-07-13T15:15:48.456000Z,1783955748.456,100.31834251377349,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_watts,2026-07-13T15:15:58.456000Z,1783955758.456,101.83205480305605,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_pod,kepler_pod_cpu_joules_total,2026-07-13T15:15:38.456000Z,1783955738.456,0.000036,core,,kepler,default,kepler-5k5h5,node-debugger-sebas-green-baremetal-jpmdwiscskyy-node-0-jcbg6,kepler,,,,"{""__name__"": ""kepler_pod_cpu_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""pod"": ""kepler-5k5h5"", ""pod_id"": ""22e5e40f-97e7-4c24-b802-7326966299b8"", ""pod_name"": ""node-debugger-sebas-green-baremetal-jpmdwiscskyy-node-0-jcbg6"", ""pod_namespace"": ""default"", ""service"": ""kepler"", ""state"": ""running"", ""zone"": ""core""}"
